id,preferred,confidence
d12804,A,
59b6f2,B,
638227,B,
0d99f4,B,
936dc6,A,
a4059c,tie,
b0b0d2,B,
af98c0,tie,
90c355,tie,
6d6dea,A,
d94d8f,A,
e6281e,A,
